county,county_fips,state_id,state_name,lat,lng,population
Jones,46075,SD,South Dakota,43.9606,-100.6897,873
Mineral,8079,CO,Colorado,37.6689,-106.9241,853
Golden Valley,30037,MT,Montana,46.3812,-109.1751,814
Slope,38087,ND,North Dakota,46.4472,-103.4599,788
Roberts,48393,TX,Texas,35.8385,-100.8134,784
Hinsdale,8053,CO,Colorado,37.8215,-107.3003,781
Hooker,31091,NE,Nebraska,41.9161,-101.1353,741
Bristol Bay,2060,AK,Alaska,58.7439,-156.7,739
McMullen,48311,TX,Texas,28.3527,-98.5678,724
Kent,48263,TX,Texas,33.1814,-100.7776,704
Grant,31075,NE,Nebraska,41.915,-101.7405,691
Loup,31115,NE,Nebraska,41.9138,-99.4544,690
Wheeler,31183,NE,Nebraska,41.9148,-98.5282,689
Borden,48033,TX,Texas,32.7437,-101.4318,653
San Juan,8111,CO,Colorado,37.764,-107.6762,646
Banner,31007,NE,Nebraska,41.546,-103.7105,645
Treasure,30103,MT,Montana,46.2115,-107.2716,614
Yakutat,2282,AK,Alaska,59.8889,-140.3577,597
Daggett,49009,UT,Utah,40.8873,-109.5076,590
Thomas,31171,NE,Nebraska,41.9136,-100.5558,586
Blaine,31009,NE,Nebraska,41.9128,-99.9768,467
Petroleum,30069,MT,Montana,47.1176,-108.2502,464
Arthur,31005,NE,Nebraska,41.5689,-101.6958,439
Kalawao,15005,HI,Hawaii,21.1709,-156.9475,436
Harding,35021,NM,New Mexico,35.8579,-103.8202,432
McPherson,31117,NE,Nebraska,41.5682,-101.0604,420
